
=== Testing on: shell | Scale: 2 x 2 ===
Algoritm: Nearest | Time: 7 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: Bicubic (a=-0.5) | Time: 188 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: Bicubic (a=-0.7) | Time: 214 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: Bicubic (a=-1.0) | Time: 203 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: Lanczos (a=2) | Time: 368 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: Lanczos (a=3) | Time: 818 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: Lanczos (a=4) | Time: 1458 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: OpenCV Nearest | Time: 0 ms | PSNR: 19.132174 | SSIM: 0.888380 | RMSE: 28.179384
Algoritm: OpenCV Bilinear | Time: 0 ms | PSNR: 20.898891 | SSIM: 0.909192 | RMSE: 22.992999
Algoritm: OpenCV Bicubic | Time: 0 ms | PSNR: 20.938582 | SSIM: 0.910625 | RMSE: 22.888171
Algoritm: OpenCV Lanczos | Time: 2 ms | PSNR: 20.668036 | SSIM: 0.899984 | RMSE: 23.612305

=== Testing on: binaryflower | Scale: 1.5 x 0.75 ===
Algoritm: Nearest | Time: 24 ms | PSNR: 21.494328 | SSIM: 0.939267 | RMSE: 21.469592
Algoritm: Bilinear | Time: 120 ms | PSNR: 24.118255 | SSIM: 0.961040 | RMSE: 15.871846
Algoritm: Bicubic (a=-0.5) | Time: 889 ms | PSNR: 24.334588 | SSIM: 0.963390 | RMSE: 15.481419
Algoritm: Bicubic (a=-0.7) | Time: 937 ms | PSNR: 24.317825 | SSIM: 0.963240 | RMSE: 15.511327
Algoritm: Bicubic (a=-1.0) | Time: 1069 ms | PSNR: 24.275336 | SSIM: 0.962855 | RMSE: 15.587389
Algoritm: Lanczos (a=2) | Time: 2311 ms | PSNR: 24.313664 | SSIM: 0.963183 | RMSE: 15.518758
Algoritm: Lanczos (a=3) | Time: 5059 ms | PSNR: 24.335432 | SSIM: 0.962120 | RMSE: 15.479916
Algoritm: Lanczos (a=4) | Time: 10504 ms | PSNR: 24.273473 | SSIM: 0.959568 | RMSE: 15.590733
Algoritm: OpenCV Nearest | Time: 3 ms | PSNR: 21.494328 | SSIM: 0.939267 | RMSE: 21.469592
Algoritm: OpenCV Bilinear | Time: 6 ms | PSNR: 24.838827 | SSIM: 0.966504 | RMSE: 14.608272
Algoritm: OpenCV Bicubic | Time: 1 ms | PSNR: 25.265752 | SSIM: 0.969991 | RMSE: 13.907613
Algoritm: OpenCV Lanczos | Time: 6 ms | PSNR: 25.233936 | SSIM: 0.965717 | RMSE: 13.958648

=== Testing on: balloons | Scale: 2 x 2 ===
Algoritm: Nearest | Time: 40 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: Bilinear | Time: 162 ms | PSNR: 33.712094 | SSIM: 0.978327 | RMSE: 5.259391
Algoritm: Bicubic (a=-0.5) | Time: 1314 ms | PSNR: 33.689353 | SSIM: 0.978688 | RMSE: 5.273179
Algoritm: Bicubic (a=-0.7) | Time: 1270 ms | PSNR: 33.532466 | SSIM: 0.978162 | RMSE: 5.369290
Algoritm: Bicubic (a=-1.0) | Time: 1277 ms | PSNR: 33.283793 | SSIM: 0.977169 | RMSE: 5.525232
Algoritm: Lanczos (a=2) | Time: 2783 ms | PSNR: 33.689200 | SSIM: 0.978681 | RMSE: 5.273272
Algoritm: Lanczos (a=3) | Time: 6850 ms | PSNR: 33.436634 | SSIM: 0.977635 | RMSE: 5.428858
Algoritm: Lanczos (a=4) | Time: 15876 ms | PSNR: 33.399234 | SSIM: 0.977323 | RMSE: 5.452284
Algoritm: OpenCV Nearest | Time: 1 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: OpenCV Bilinear | Time: 7 ms | PSNR: 36.900807 | SSIM: 0.988373 | RMSE: 3.643341
Algoritm: OpenCV Bicubic | Time: 1 ms | PSNR: 44.063157 | SSIM: 0.997485 | RMSE: 1.597285
Algoritm: OpenCV Lanczos | Time: 5 ms | PSNR: 44.984342 | SSIM: 0.998029 | RMSE: 1.436558

=== Testing on: balloons | Scale: 0.5 x 0.5 ===
